id_transaccion,fecha_hora,tipo_transaccion,metodo_pago,monto,saldo_acumulado,cajero_id,numero_ticket,cliente_id,producto_categoria,descripcion,responsable
29,2025-01-06 16:24:35,Gasto,Transferencia,7133.4,25523.98,9,TK-35615951,,,Magni pariatur eveniet possimus mollitia.,Juan Bautista Martina Diaz
13,2025-01-07 16:30:02,Gasto,Efectivo,12799.93,56517.25,1,TK-31051834,,,Distinctio consequatur vel necessitatibus labore quos rem.,Benjamin Perez Diaz
23,2025-01-26 19:03:45,Venta,Tarjeta de Crédito,13187.26,47250.76,3,TK-80598262,1685.0,Juguetes,,Bautista Garcia
18,2025-01-28 06:09:44,Gasto,Efectivo,2272.73,34790.24,10,TK-39909169,9565.0,,Vel dignissimos quaerat dolores id perferendis.,Martina Gomez
12,2025-01-28 11:03:28,Venta,Transferencia,3287.63,69317.18,4,TK-15098393,,Juguetes,,Juan Bautista Martina Diaz
28,2025-02-07 23:12:50,Gasto,Tarjeta de Débito,14501.08,32657.38,5,TK-01965569,9379.0,,Harum nemo ducimus provident.,Felipe Maximiliano Romero Gomez
15,2025-02-08 20:46:01,Gasto,Transferencia,3976.77,45924.17,8,TK-31781080,2528.0,,Cumque laborum distinctio id animi.,Benicio Romero Perez
14,2025-02-10 03:05:17,Gasto,Efectivo,6616.31,49900.94,2,TK-65667010,,,Quas reiciendis autem deleniti modi consequuntur.,Bautista Garcia
30,2025-02-10 09:21:11,Venta,Tarjeta de Débito,5733.2,31257.18,7,TK-29946804,5700.0,Electrónica,,Amparo Paez Rodriguez
5,2025-02-13 21:12:27,Venta,Tarjeta de Crédito,4014.39,85112.17,10,TK-53767242,,Accesorios,,Amparo Paez Rodriguez
17,2025-02-15 02:38:08,Gasto,Transferencia,13569.52,37062.97,1,TK-98050097,9238.0,,Culpa vero aspernatur delectus nisi perferendis doloremque.,Martina Gomez
26,2025-02-15 23:22:04,Venta,Efectivo,1810.95,44360.98,8,TK-54330365,,Accesorios,,Amparo Paez Rodriguez
6,2025-02-20 09:20:53,Gasto,Tarjeta de Crédito,12864.92,72247.25,9,TK-84969653,3266.0,,Laudantium quidem similique corrupti cum perspiciatis nisi.,Benicio Romero Perez
21,2025-02-23 15:29:20,Gasto,Tarjeta de Crédito,11760.38,26711.37,2,TK-82449353,,,Magnam dolorum tenetur amet odio.,Felipe Maximiliano Romero Gomez
27,2025-02-26 05:24:59,Venta,Transferencia,2797.48,47158.46,2,TK-45868501,5279.0,Alimentos,,Dr(a). Delfina Nuñez
19,2025-03-02 03:07:57,Venta,Transferencia,12089.11,46879.35,6,TK-10799118,4492.0,Accesorios,,Felipe Maximiliano Romero Gomez
24,2025-03-03 15:19:15,Venta,Tarjeta de Débito,3139.75,50390.51,1,TK-53315869,3532.0,Juguetes,,Benjamin Perez Diaz
16,2025-03-16 13:05:08,Venta,Tarjeta de Débito,4708.32,50632.49,7,TK-47468723,5861.0,Juguetes,,Dr(a). Delfina Nuñez
7,2025-03-17 14:28:00,Venta,Transferencia,14623.62,86870.87,10,TK-78480184,,Ropa,,Bautista Garcia
20,2025-04-08 17:01:09,Gasto,Efectivo,8407.6,38471.75,3,TK-51354278,5956.0,,Voluptates rem minus pariatur mollitia ut aut soluta.,Amparo Paez Rodriguez
9,2025-04-09 00:48:30,Gasto,Tarjeta de Débito,14793.1,62994.84,4,TK-25288095,9005.0,,Beatae facilis voluptates.,Felipe Maximiliano Romero Gomez
1,2025-05-01 02:44:43,Venta,Tarjeta de Crédito,1350.15,51350.15,6,TK-93103413,,Alimentos,,Amparo Paez Rodriguez
3,2025-05-14 11:18:40,Venta,Transferencia,8857.43,69474.48,2,TK-92832764,,Juguetes,,Dr(a). Delfina Nuñez
8,2025-05-26 15:49:57,Gasto,Efectivo,9082.93,77787.94,6,TK-14627048,,,Magni autem numquam sapiente.,Juan Bautista Martina Diaz
10,2025-06-02 15:03:44,Gasto,Tarjeta de Crédito,7347.74,55647.1,4,TK-03911718,,,Consectetur labore mollitia eaque.,Alejo Fernandez Flores
22,2025-06-06 17:56:38,Venta,Tarjeta de Crédito,7352.13,34063.5,1,TK-05242786,1158.0,Alimentos,,Sebastian Rojas Valdez
2,2025-06-13 12:36:56,Venta,Efectivo,9266.9,60617.05,7,TK-47525534,,Alimentos,,Juan Bautista Martina Diaz
11,2025-06-14 14:40:36,Venta,Efectivo,10382.45,66029.55,7,TK-38346578,8397.0,Alimentos,,Sebastian Rojas Valdez
25,2025-06-24 08:17:28,Gasto,Efectivo,7840.48,42550.03,4,TK-22602563,5371.0,,Ratione autem sit similique.,Dr(a). Delfina Nuñez
4,2025-07-05 23:35:19,Venta,Tarjeta de Débito,11623.3,81097.78,9,TK-35030564,2084.0,Ropa,,Dr(a). Delfina Nuñez
