factura_id,cliente_id,fecha_emision,fecha_vencimiento,fecha_pago,estado,monto_total,monto_pagado,saldo_pendiente,condicion_pago_dias,nombre,tipo,cuit
F-10013,1026,2025-04-11,2025-04-11,,Vencida,61145.24,0.0,61145.24,0,Medina Group,Individuo,38-66836170-4
F-10043,1015,2025-04-18,2025-04-18,,Pendiente,83577.29,0.0,83577.29,0,Mansilla and Sons,Individuo,90-99759105-7
F-10003,1024,2025-04-19,2025-05-04,,Pendiente,147197.82,0.0,147197.82,15,"Sosa, Aguirre and Diaz",Empresa,33-03316006-5
F-10012,1022,2025-04-19,2025-05-04,2025-04-21,Pagada,39069.7,39069.7,0.0,15,Gonzalez PLC,Individuo,28-34773481-1
F-10022,1008,2025-04-22,2025-05-07,2025-05-04,Pagada,51698.3,51698.3,0.0,15,Mendoza-Arias,Individuo,61-86054708-5
F-10039,1022,2025-04-11,2025-05-11,2025-05-07,Pagada,69586.32,69586.32,0.0,30,Gonzalez PLC,Individuo,28-34773481-1
F-10054,1029,2025-05-13,2025-05-13,,Pendiente,61895.55,0.0,61895.55,0,Fernandez-Guzman,Individuo,21-50123763-6
F-10050,1015,2025-04-28,2025-05-13,2025-05-03,Pagada,44070.22,44070.22,0.0,15,Mansilla and Sons,Individuo,90-99759105-7
F-10000,1018,2025-04-16,2025-05-16,2025-05-12,Pagada,89999.25,89999.25,0.0,30,Nuñez LLC,Individuo,17-95374799-5
F-10019,1005,2025-04-16,2025-05-16,,Vencida,79634.28,0.0,79634.28,30,Franco Romero,Individuo,39-15053688-0
F-10052,1007,2025-04-17,2025-05-17,,Pendiente,19968.06,0.0,19968.06,30,Facundo Benjamin Figueroa,Individuo,46-60191851-1
F-10029,1016,2025-05-04,2025-05-19,,Pendiente,5864.29,0.0,5864.29,15,Campos-Mendez,Empresa,55-37532606-6
F-10047,1000,2025-04-20,2025-05-20,,Vencida,37998.68,0.0,37998.68,30,Thiago Benjamin Vazquez Perez,Empresa,06-88550225-8
F-10021,1011,2025-05-06,2025-05-21,,Vencida,54311.72,0.0,54311.72,15,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10002,1012,2025-05-22,2025-05-22,,Pendiente,148810.0,0.0,148810.0,0,"Castro, Romero and Gomez",Empresa,53-95148335-4
F-10001,1020,2025-04-24,2025-05-24,2025-05-01,Pagada,56027.48,56027.48,0.0,30,Valentin Rojas Romero,Individuo,53-90789490-5
F-10059,1013,2025-04-25,2025-05-25,,Pendiente,11067.05,0.0,11067.05,30,Gonzalez-Gimenez,Empresa,38-30349319-5
F-10014,1009,2025-05-10,2025-05-25,2025-05-22,Parcialmente Pagada,117005.46,38957.66,78047.8,15,Lautaro Godoy,Individuo,26-12531086-8
F-10053,1019,2025-04-29,2025-05-29,,Vencida,80502.45,0.0,80502.45,30,Santino Agustin Facundo Silva,Individuo,45-02106727-8
F-10015,1011,2025-05-17,2025-06-01,,Pendiente,53970.03,0.0,53970.03,15,Rodriguez-Fernandez,Empresa,05-77460285-8
F-10048,1028,2025-06-03,2025-06-03,,Vencida,46338.4,0.0,46338.4,0,Alvarez Inc,Empresa,18-19513626-2
F-10045,1027,2025-06-04,2025-06-04,,Pendiente,135439.47,0.0,135439.47,0,Agustin Joaquín Gomez,Individuo,17-58907854-5
F-10040,1014,2025-05-12,2025-06-11,2025-05-28,Pagada,105117.9,105117.9,0.0,30,Alma Rojas Soria,Individuo,82-77604975-6
F-10037,1019,2025-05-12,2025-06-11,2025-05-30,Pagada,60184.84,60184.84,0.0,30,Santino Agustin Facundo Silva,Individuo,45-02106727-8
F-10018,1014,2025-04-16,2025-06-15,2025-04-17,Pagada,119710.83,119710.83,0.0,60,Alma Rojas Soria,Individuo,82-77604975-6
F-10010,1001,2025-05-19,2025-06-18,,Pendiente,8449.88,0.0,8449.88,30,Quiroga-Lopez,Individuo,61-96105710-1
F-10046,1028,2025-05-21,2025-06-20,,Vencida,135632.71,0.0,135632.71,30,Alvarez Inc,Empresa,18-19513626-2
F-10024,1028,2025-06-20,2025-06-20,2025-06-20,Pagada,86870.55,86870.55,0.0,0,Alvarez Inc,Empresa,18-19513626-2
F-10023,1001,2025-06-21,2025-06-21,2025-06-21,Parcialmente Pagada,78244.0,55278.77,22965.23,0,Quiroga-Lopez,Individuo,61-96105710-1
F-10033,1010,2025-06-06,2025-06-21,,Vencida,31198.03,0.0,31198.03,15,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10051,1024,2025-06-07,2025-06-22,2025-06-21,Pagada,130522.62,130522.62,0.0,15,"Sosa, Aguirre and Diaz",Empresa,33-03316006-5
F-10008,1028,2025-06-23,2025-06-23,,Vencida,59731.53,0.0,59731.53,0,Alvarez Inc,Empresa,18-19513626-2
F-10011,1020,2025-06-10,2025-06-25,,Vencida,65760.48,0.0,65760.48,15,Valentin Rojas Romero,Individuo,53-90789490-5
F-10034,1025,2025-06-26,2025-06-26,,Vencida,59423.59,0.0,59423.59,0,"Gonzalez, Blanco and Martinez",Empresa,64-24145380-5
F-10009,1017,2025-05-02,2025-07-01,2025-06-01,Pagada,51756.4,51756.4,0.0,60,"Perez, Blanco and Mendez",Individuo,65-14148950-6
F-10036,1002,2025-06-04,2025-07-04,2025-06-30,Pagada,43485.33,43485.33,0.0,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10026,1029,2025-06-19,2025-07-04,,Vencida,75174.06,0.0,75174.06,15,Fernandez-Guzman,Individuo,21-50123763-6
F-10025,1002,2025-06-04,2025-07-04,2025-06-08,Pagada,85407.53,85407.53,0.0,30,Juan Ignacio Mia Morena Garcia,Empresa,69-74704587-3
F-10016,1003,2025-06-20,2025-07-05,,Vencida,61005.69,0.0,61005.69,15,"Godoy, Ortiz and Campos",Individuo,06-86897865-8
F-10056,1020,2025-05-06,2025-07-05,,Pendiente,27307.92,0.0,27307.92,60,Valentin Rojas Romero,Individuo,53-90789490-5
F-10017,1001,2025-06-23,2025-07-08,,Pendiente,7988.79,0.0,7988.79,15,Quiroga-Lopez,Individuo,61-96105710-1
F-10038,1012,2025-06-12,2025-07-12,2025-07-12,Pagada,88161.9,88161.9,0.0,30,"Castro, Romero and Gomez",Empresa,53-95148335-4
F-10005,1004,2025-05-13,2025-07-12,2025-06-04,Pagada,42172.54,42172.54,0.0,60,Farias Ltd,Empresa,21-74255861-7
F-10035,1008,2025-06-28,2025-07-13,,Vencida,59578.63,0.0,59578.63,15,Mendoza-Arias,Individuo,61-86054708-5
