factura_id,cliente_id,fecha_emision,fecha_vencimiento,fecha_pago,estado,monto_total,monto_pagado,saldo_pendiente,condicion_pago_dias,nombre,tipo,cuit
F-10013,1026,2025-04-09,2025-04-09,,Vencida,61145.24,0.0,61145.24,0,Medina Group,Individuo,38-66836170-4
F-10073,1010,2025-04-14,2025-04-14,2025-04-14,Pagada,36765.58,36765.58,0.0,0,Fernandez-Ferreyra,Empresa,46-52858129-6
F-10072,1004,2025-04-15,2025-04-15,2025-04-15,Pagada,120133.09,120133.09,0.0,0,Farias Ltd,Empresa,21-74255861-7
F-10043,1015,2025-04-16,2025-04-16,,Pendiente,83577.29,0.0,83577.29,0,Mansilla and Sons,Individuo,90-99759105-7
F-10080,1007,2025-04-19,2025-04-19,2025-04-19,Pagada,14367.43,14367.43,0.0,0,Facundo Benjamin Figueroa,Individuo,46-60191851-1
F-10075,1004,2025-04-20,2025-04-20,,Pendiente,18091.67,0.0,18091.67,0,Farias Ltd,Empresa,21-74255861-7
F-10012,1022,2025-04-17,2025-05-02,2025-04-19,Pagada,39069.7,39069.7,0.0,15,Gonzalez PLC,Individuo,28-34773481-1
F-10090,1020,2025-04-17,2025-05-02,2025-04-17,Pagada,42752.81,42752.81,0.0,15,Valentin Rojas Romero,Individuo,53-90789490-5
F-10003,1024,2025-04-17,2025-05-02,,Pendiente,147197.82,0.0,147197.82,15,"Sosa, Aguirre and Diaz",Empresa,33-03316006-5
F-10092,1003,2025-04-18,2025-05-03,2025-04-20,Parcialmente Pagada,92680.53,29320.44,63360.09,15,"Godoy, Ortiz and Campos",Individuo,06-86897865-8
F-10091,1024,2025-04-19,2025-05-04,,Vencida,58000.41,0.0,58000.41,15,"Sosa, Aguirre and Diaz",Empresa,33-03316006-5
F-10022,1008,2025-04-20,2025-05-05,2025-05-02,Pagada,51698.3,51698.3,0.0,15,Mendoza-Arias,Individuo,61-86054708-5
F-10039,1022,2025-04-09,2025-05-09,2025-05-05,Pagada,69586.32,69586.32,0.0,30,Gonzalez PLC,Individuo,28-34773481-1
F-10054,1029,2025-05-11,2025-05-11,,Pendiente,61895.55,0.0,61895.55,0,Fernandez-Guzman,Individuo,21-50123763-6
